food_items,calories,calories_breakdown
briyani,139/100g,"26%fat,56%carbs,18%protein"
dosa,"106/piece
","9%fat,81%carbs,10% protein"
panipuri,70/5pieces,"43%fat,51%carbs,6%protein"
tandoorichicken,519/cup,"49%fat,8%carbs,43%protein"
chapati,68/piece,"8%fat,78%carbs,14%protein"
idly,160/4pieces,"3%fat,85%carbs,12%protein"
jalebi,150/piece,"13%fat,82%carbs,5%protein"
paneercurry,203/150g,"67%fat,18%carbs,16%protein."
samosa,190/piece,"47%fat,44%carbs,8%protein"
cholebhature,261/piece,"32%fat,57%carbs,11%protein"
